Min Compensation,Max Compensation,Monthly Salary Credit,ER,EE,Total,EC
0,2250,2000,160,80,240,10
2250,2749.99,2500,200,100,300,10
2750,3249.99,3000,240,120,360,10
3250,3749.99,3500,280,140,420,10
3750,4249.99,4000,320,160,480,10
4250,4749.99,4500,360,180,540,10
4750,5249.99,5000,400,200,600,10
5250,5749.99,5500,440,220,660,10
5750,6249.99,6000,480,240,720,10
6250,6749.99,6500,520,260,780,10
6750,7249.99,7000,560,280,840,10
7250,7749.99,7500,600,300,900,10
7750,8249.99,8000,640,320,960,10
8250,8749.99,8500,680,340,1020,10
8750,9249.99,9000,720,360,1080,10
9250,9749.99,9500,760,380,1140,10
9750,10249.99,10000,800,400,1200,10
10250,10749.99,10500,840,420,1260,10
10750,11249.99,11000,880,440,1320,10
11250,11749.99,11500,920,460,1380,10
11750,12249.99,12000,960,480,1440,10
12250,12749.99,12500,1000,500,1500,10
12750,13249.99,13000,1040,520,1560,10
13250,13749.99,13500,1080,540,1620,10
13750,14249.99,14000,1120,560,1680,10
14250,14749.99,14500,1160,580,1740,10
14750,15249.99,15000,1200,600,1800,30
15250,15749.99,15500,1240,620,1860,30
15750,16249.99,16000,1280,640,1920,30
16250,16749.99,16500,1320,660,1980,30
16750,17249.99,17000,1360,680,2040,30
17250,17749.99,17500,1400,700,2100,30
17750,18249.99,18000,1440,720,2160,30
18250,18749.99,18500,1480,740,2220,30
18750,19249.99,19000,1520,760,2280,30
19250,19749.99,19500,1560,780,2340,30
19750,0,20000,1600,800,2400,30
